id,bus_stop_id,bus_id,enter_sum,exit_sum,bus_board_computer_sent_time,created_time,route_number,tickets_count
1953980755,3355,4901,0,0,2024-12-09T09:42:16.13,2024-12-09T10:02:24.237,50,1
1953285305,2069,1122,3,5,2024-12-09T07:54:01.328,2024-12-09T08:02:57.643,50,1
1949035281,2071,1129,2,0,2024-12-08T12:38:58.942,2024-12-08T12:51:39.193,50,5
1954765521,2356,1117,1,0,2024-12-09T12:24:56.669,2024-12-09T12:26:19.133,50,
1942580019,2357,1120,2,5,2024-12-07T08:52:06.327,2024-12-07T08:52:45.518,50,5
1942509548,1962,1120,9,0,2024-12-07T08:39:16.329,2024-12-07T08:39:47.797,50,8
1949897302,1583,1129,2,0,2024-12-08T16:01:39.083,2024-12-08T16:02:50.852,50,2
1944193682,2118,4901,0,11,2024-12-07T14:41:08.486,2024-12-07T14:42:41.411,12,0
1942538833,2239,1130,1,0,2024-12-07T08:40:56.311,2024-12-07T08:44:13.019,50,3
1951141259,3351,1130,0,4,2024-12-08T19:23:54.942,2024-12-08T19:25:09.432,50,0
1943289362,2763,1122,2,0,2024-12-07T11:31:59.591,2024-12-07T11:32:55.944,50,5
1953993913,2235,1129,1,6,2024-12-09T10:03:19.49,2024-12-09T10:05:04.93,50,0
1945051036,2073,1120,7,5,2024-12-07T17:19:31.575,2024-12-07T17:19:50.568,50,6
1944141209,2257,1122,7,2,2024-12-07T14:31:46.718,2024-12-07T14:32:19.851,50,4
1945884899,2087,1120,0,4,2024-12-07T19:51:19.248,2024-12-07T19:51:44.31,50,0
1953260573,1958,1120,14,22,2024-12-09T07:55:36.986,2024-12-09T07:58:35.293,50,10
1953988462,1955,4901,0,0,2024-12-09T09:43:47.377,2024-12-09T10:03:55.032,50,1
1944165885,1478,1130,1,1,2024-12-07T14:30:14.071,2024-12-07T14:36:29.795,50,1
1942518401,2762,1129,0,0,2024-12-07T08:35:57.748,2024-12-07T08:40:53.981,50,0
1942517521,2360,4901,2,0,2024-12-07T08:39:37.306,2024-12-07T08:40:44.391,12,0
1953210384,2079,1122,1,0,2024-12-09T07:45:48.838,2024-12-09T07:49:29.812,50,5
1951143381,1583,1129,2,0,2024-12-08T19:24:45.174,2024-12-08T19:25:40.425,50,3
1942557200,2355,4901,1,0,2024-12-07T08:45:27.51,2024-12-07T08:47:59.231,12,0
1943382903,2240,1130,3,2,2024-12-07T11:44:26.297,2024-12-07T11:46:21.741,50,8
1948163467,2363,1130,3,0,2024-12-08T09:23:28.895,2024-12-08T09:25:11.805,50,3
1943297052,1915,4901,0,2,2024-12-07T11:27:27.428,2024-12-07T11:34:56.283,12,1
1948192081,2118,1129,0,0,2024-12-08T09:22:28.471,2024-12-08T09:31:39.805,50,2
1948993050,2075,1129,1,0,2024-12-08T12:36:50.575,2024-12-08T12:41:15.73,50,0
1949016554,2367,4901,0,0,2024-12-08T12:39:06.792,2024-12-08T12:46:45.528,50,1
1945057023,2127,4901,9,1,2024-12-07T17:10:43.411,2024-12-07T17:21:13.273,12,8
1945084189,1475,1129,1,0,2024-12-07T17:12:07.718,2024-12-07T17:27:10.746,50,0
1954004327,2238,1129,0,0,2024-12-09T10:04:58.296,2024-12-09T10:06:52.425,50,0
1954768177,2070,1130,0,0,2024-12-09T12:25:55.642,2024-12-09T12:26:54.366,50,0
1949909147,1754,1122,2,0,2024-12-08T16:03:12.829,2024-12-08T16:03:51.287,50,1
1944191613,2356,1120,3,6,2024-12-07T14:40:11.342,2024-12-07T14:42:13.124,50,3
1946359310,3351,1130,0,11,2024-12-07T22:18:05.829,2024-12-07T22:18:47.056,50,0
1945885892,2077,1122,1,2,2024-12-07T19:51:31.6,2024-12-07T19:51:59.658,50,2
1951221838,2383,4901,0,1,2024-12-08T19:28:53.555,2024-12-08T19:40:14.793,46,0
1951222614,2367,1129,3,0,2024-12-08T19:38:42.485,2024-12-08T19:40:26.737,50,6
1953230207,2075,1122,8,5,2024-12-09T07:48:56.389,2024-12-09T07:53:10.977,50,12
1945061398,2235,1122,6,6,2024-12-07T17:21:50.997,2024-12-07T17:22:18.426,50,3
1948172288,2226,4901,0,1,2024-12-08T09:19:40.161,2024-12-08T09:27:12.769,50,0
1953211389,1474,4901,1,0,2024-12-09T07:41:58.409,2024-12-09T07:49:41.597,50,1
1942528943,1965,1120,2,0,2024-12-07T08:40:56.39,2024-12-07T08:42:08.838,50,1
1954770127,2360,4901,4,0,2024-12-09T12:13:29.35,2024-12-09T12:27:20.199,50,2
1942538384,6027,1129,2,0,2024-12-07T08:42:08.493,2024-12-07T08:44:08.09,50,3
1954771805,1874,1129,0,1,2024-12-09T12:27:11.247,2024-12-09T12:27:41.501,50,
1945888185,2227,1130,2,2,2024-12-07T19:52:02.307,2024-12-07T19:52:34.874,50,1
1948213637,2226,1130,0,3,2024-12-08T09:35:19.151,2024-12-08T09:36:35.792,50,0
1942551947,2237,1122,0,4,2024-12-07T08:37:32.608,2024-12-07T08:46:53.192,50,0
1948250777,1754,1129,0,0,2024-12-08T09:37:39.86,2024-12-08T09:45:01.373,50,2
1954006970,2241,1122,1,4,2024-12-09T10:06:48.83,2024-12-09T10:07:16.192,50,2
1944169484,1476,1130,3,2,2024-12-07T14:31:25.194,2024-12-07T14:37:20.077,50,2
1943298492,2064,1130,2,3,2024-12-07T11:24:44.94,2024-12-07T11:35:17.241,50,4
1949069692,2363,1122,2,3,2024-12-08T12:58:12.835,2024-12-08T12:58:47.795,50,2
1953988534,1958,1117,11,3,2024-12-09T10:01:34.54,2024-12-09T10:03:56.159,50,12
1948997962,1960,1130,4,4,2024-12-08T12:41:07.518,2024-12-08T12:42:21.991,50,2
1949913235,2369,1122,2,1,2024-12-08T16:04:31.907,2024-12-08T16:04:45.658,50,2
1945892041,1426,4901,0,0,2024-12-07T19:46:32.038,2024-12-07T19:53:33.533,12,0
1951147348,1754,1122,3,6,2024-12-08T19:25:56.12,2024-12-08T19:26:35.691,50,4
1946372657,2126,4901,0,2,2024-12-07T22:03:09.379,2024-12-07T22:22:30.34,12,0
1942532932,3351,1129,0,1,2024-12-07T08:37:03.235,2024-12-07T08:43:01.394,50,0
1953992898,2928,4901,1,0,2024-12-09T09:44:41.12,2024-12-09T10:04:45.669,50,1
1948173265,2071,1129,0,0,2024-12-08T09:14:13.483,2024-12-08T09:27:24.976,50,1
1953220753,1477,4901,1,1,2024-12-09T07:45:08.447,2024-12-09T07:51:22.492,50,0
1945897081,2073,1122,2,0,2024-12-07T19:54:11.589,2024-12-07T19:54:40.12,50,1
1948225984,2356,1122,0,1,2024-12-08T09:36:58.765,2024-12-08T09:39:25.881,50,3
1945905169,2083,1129,0,1,2024-12-07T19:56:00.59,2024-12-07T19:56:44.688,50,0
1944170951,2235,1129,4,2,2024-12-07T14:37:05.247,2024-12-07T14:37:35.274,50,2
1949918205,2367,1122,2,1,2024-12-08T16:05:27.828,2024-12-08T16:05:59.962,50,2
1942568548,1958,1129,10,0,2024-12-07T08:49:37.688,2024-12-07T08:50:17.955,50,10
1949002274,2235,1122,3,5,2024-12-08T12:42:50.832,2024-12-08T12:43:06.823,50,1
1949928172,2354,1130,0,3,2024-12-08T16:01:40.909,2024-12-08T16:08:26.387,50,1
1951150861,7334,4901,0,0,2024-12-08T19:17:48.642,2024-12-08T19:27:27.567,46,1
1943298898,3354,1122,0,0,2024-12-07T11:33:44.597,2024-12-07T11:35:23.801,50,0
1945061674,2071,1120,3,0,2024-12-07T17:20:59.237,2024-12-07T17:22:22.805,50,3
1945977479,1478,1129,1,2,2024-12-07T20:03:34.399,2024-12-07T20:04:02.168,50,1
1946379552,2135,4901,0,1,2024-12-07T22:05:48.523,2024-12-07T22:24:12.386,12,1
1948173867,2257,4901,0,1,2024-12-08T09:22:20.642,2024-12-08T09:27:32.6,50,0
1943398948,1756,1130,0,0,2024-12-07T11:46:23.999,2024-12-07T11:50:38.684,50,2
1948186662,2356,1130,0,2,2024-12-08T09:29:11.874,2024-12-08T09:30:25.196,50,0
1942540356,3352,1129,3,0,2024-12-07T08:43:27.689,2024-12-07T08:44:32.065,50,2
1942581003,2365,1130,0,0,2024-12-07T08:49:00.941,2024-12-07T08:52:57.822,50,1
1949003377,1754,4901,2,0,2024-12-08T12:37:06.797,2024-12-08T12:43:23.889,50,4
1942580536,2229,4901,1,1,2024-12-07T08:49:12.468,2024-12-07T08:52:51.827,12,1
1949919586,2355,1130,2,3,2024-12-08T16:00:39.829,2024-12-08T16:06:20.623,50,1
1949017422,2240,1122,7,4,2024-12-08T12:46:32.839,2024-12-08T12:47:11.497,50,6
1951161017,2367,1122,10,1,2024-12-08T19:28:23.837,2024-12-08T19:29:52.103,50,7
1953223390,3355,1120,5,20,2024-12-09T07:51:11.979,2024-12-09T07:51:53.186,50,5
1953997933,1962,1117,5,2,2024-12-09T10:04:19.343,2024-12-09T10:05:42.73,50,5
1943301264,1878,1130,0,1,2024-12-07T11:26:49.181,2024-12-07T11:35:57.475,50,5
1945061966,1911,1130,2,0,2024-12-07T17:20:40.192,2024-12-07T17:22:27.386,50,2
1943410144,2365,1130,1,5,2024-12-07T11:52:09.884,2024-12-07T11:53:34.08,50,2
1944173570,1475,1130,6,2,2024-12-07T14:32:24.213,2024-12-07T14:38:10.309,50,4
1945080924,2067,1120,2,0,2024-12-07T17:25:54.342,2024-12-07T17:26:22.84,50,1
1945177999,2121,4901,3,0,2024-12-07T17:17:38.441,2024-12-07T17:34:41.726,12,2
1945909759,2353,1130,0,0,2024-12-07T19:54:52.829,2024-12-07T19:57:53.509,50,0
1945897940,1871,4901,2,2,2024-12-07T19:51:27.399,2024-12-07T19:54:53.903,12,1
1943303208,3355,1122,1,0,2024-12-07T11:34:54.6,2024-12-07T11:36:13.862,50,1
1943337570,1958,1122,9,3,2024-12-07T11:38:14.591,2024-12-07T11:38:44.869,50,8
1953224372,2222,1130,6,12,2024-12-09T07:48:34.637,2024-12-09T07:52:06.17,50,5
